Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
945629,"113.612113,22.804539",东莞,0,0,0
942401,"113.621889,22.79554",东莞,0,0,0
945630,"113.617001,22.804539",东莞,0,0,0
944016,"113.621889,22.80004",东莞,35,6106,12
945631,"113.621889,22.804539",东莞,0,0,0
940787,"113.626778,22.79104",东莞,0,0,0
942402,"113.626778,22.79554",东莞,181,366,54
944017,"113.626778,22.80004",东莞,1286,10171,491
945632,"113.626778,22.804539",东莞,0,0,0
942403,"113.631666,22.79554",东莞,0,0,0
942404,"113.636554,22.79554",东莞,0,0,0
944018,"113.631666,22.80004",东莞,86,2210,16
945633,"113.631666,22.804539",东莞,0,0,0
944019,"113.636554,22.80004",东莞,0,0,0
945634,"113.636554,22.804539",东莞,4991,16914,2845
924645,"113.665884,22.746044",东莞,0,0,0
924646,"113.670772,22.746044",东莞,347,9143,276
926260,"113.665884,22.750544",东莞,0,1,0
927875,"113.665884,22.755043",东莞,4167,3337,1574
926261,"113.670772,22.750544",东莞,0,0,0
927876,"113.670772,22.755043",东莞,1186,286,304
929489,"113.660995,22.759543",东莞,2305,3280,1300
931104,"113.660995,22.764042",东莞,0,0,0
932719,"113.660995,22.768542",东莞,0,0,0
929490,"113.665884,22.759543",东莞,0,0,0
931105,"113.665884,22.764042",东莞,0,0,0
929491,"113.670772,22.759543",东莞,0,0,0
931106,"113.670772,22.764042",东莞,4708,1390,2217
932720,"113.665884,22.768542",东莞,0,0,0
934335,"113.665884,22.773042",东莞,0,0,0
932721,"113.670772,22.768542",东莞,744,172,288
934336,"113.670772,22.773042",东莞,0,0,0
939177,"113.651219,22.786541",东莞,0,0,0
942405,"113.641442,22.79554",东莞,0,0,0
940791,"113.646331,22.79104",东莞,0,0,0
942406,"113.646331,22.79554",东莞,0,0,0
944020,"113.641442,22.80004",东莞,0,0,0
945635,"113.641442,22.804539",东莞,65,13,54
944021,"113.646331,22.80004",东莞,0,0,0
945636,"113.646331,22.804539",东莞,1955,876,574
940792,"113.651219,22.79104",东莞,0,0,0
942407,"113.651219,22.79554",东莞,119,1560,49
944022,"113.651219,22.80004",东莞,85,8141,24
945637,"113.651219,22.804539",东莞,0,0,0
935950,"113.665884,22.777541",东莞,128,52,36
935951,"113.670772,22.777541",东莞,0,0,0
937565,"113.665884,22.782041",东莞,1410,3249,588
939180,"113.665884,22.786541",东莞,0,0,0
937566,"113.670772,22.782041",东莞,0,0,0
939181,"113.670772,22.786541",东莞,0,0,0
940793,"113.656107,22.79104",东莞,0,0,0
942408,"113.656107,22.79554",东莞,2066,4365,714
940794,"113.660995,22.79104",东莞,0,0,0
942409,"113.660995,22.79554",东莞,1512,948,605
944023,"113.656107,22.80004",东莞,0,0,0
945638,"113.656107,22.804539",东莞,0,0,0
944024,"113.660995,22.80004",东莞,3306,1283,1940
945639,"113.660995,22.804539",东莞,4258,1796,1094
940795,"113.665884,22.79104",东莞,1475,3838,502
942410,"113.665884,22.79554",东莞,0,0,0
940796,"113.670772,22.79104",东莞,7056,1805,2747
942411,"113.670772,22.79554",东莞,1534,410,915
944025,"113.665884,22.80004",东莞,0,0,0
945640,"113.665884,22.804539",东莞,0,0,0
944026,"113.670772,22.80004",东莞,0,0,0
945641,"113.670772,22.804539",东莞,0,0,0
924647,"113.67566,22.746044",东莞,0,0,0
926262,"113.67566,22.750544",东莞,2005,662,1540
927877,"113.67566,22.755043",东莞,3817,1413,1936
926263,"113.680548,22.750544",东莞,0,0,0
927878,"113.680548,22.755043",东莞,0,0,0
926264,"113.685437,22.750544",东莞,0,0,0
927879,"113.685437,22.755043",东莞,3305,1448,2231
929492,"113.67566,22.759543",东莞,3604,1735,2052
931107,"113.67566,22.764042",东莞,8,1,72
932722,"113.67566,22.768542",东莞,0,0,0
934337,"113.67566,22.773042",东莞,0,0,0
929493,"113.680548,22.759543",东莞,0,0,0
931108,"113.680548,22.764042",东莞,0,0,0
929494,"113.685437,22.759543",东莞,0,0,0
931109,"113.685437,22.764042",东莞,1013,1398,273
932723,"113.680548,22.768542",东莞,2983,1250,1174
934338,"113.680548,22.773042",东莞,1811,1836,603
932724,"113.685437,22.768542",东莞,1333,1604,401
934339,"113.685437,22.773042",东莞,0,0,0
927880,"113.690325,22.755043",东莞,5995,2067,2859
927881,"113.695213,22.755043",东莞,1353,2804,2071
927882,"113.700101,22.755043",东莞,3073,1028,3189
929495,"113.690325,22.759543",东莞,0,0,0
931110,"113.690325,22.764042",东莞,0,0,0
929496,"113.695213,22.759543",东莞,4631,1396,953
931111,"113.695213,22.764042",东莞,2724,2407,1271
932725,"113.690325,22.768542",东莞,1486,4802,891
934340,"113.690325,22.773042",东莞,3073,3098,1330
932726,"113.695213,22.768542",东莞,0,0,0
934341,"113.695213,22.773042",东莞,0,0,0
929497,"113.700101,22.759543",东莞,3306,1438,1869
931112,"113.700101,22.764042",东莞,2794,1578,3018
932727,"113.700101,22.768542",东莞,0,0,0
934342,"113.700101,22.773042",东莞,8437,3711,4527
935952,"113.67566,22.777541",东莞,2772,2921,1085
937567,"113.67566,22.782041",东莞,0,0,0
939182,"113.67566,22.786541",东莞,6287,3131,5286
935953,"113.680548,22.777541",东莞,0,0,0
935954,"113.685437,22.777541",东莞,0,0,0
937568,"113.680548,22.782041",东莞,0,0,0
939183,"113.680548,22.786541",东莞,0,0,0
937569,"113.685437,22.782041",东莞,4118,1345,1347
939184,"113.685437,22.786541",东莞,3862,992,1360
940797,"113.67566,22.79104",东莞,3997,812,1266
942412,"113.67566,22.79554",东莞,2326,489,853
944027,"113.67566,22.80004",东莞,1025,177,386
945642,"113.67566,22.804539",东莞,5162,7926,3307
940798,"113.680548,22.79104",东莞,3468,969,973
942413,"113.680548,22.79554",东莞,4464,1233,2351
940799,"113.685437,22.79104",东莞,7939,1828,3601
942414,"113.685437,22.79554",东莞,643,148,883
944028,"113.680548,22.80004",东莞,5369,1788,2448
945643,"113.680548,22.804539",东莞,4544,4914,1512
944029,"113.685437,22.80004",东莞,954,323,368
945644,"113.685437,22.804539",东莞,2227,3162,918
935955,"113.690325,22.777541",东莞,2129,1557,1067
935956,"113.695213,22.777541",东莞,2749,4147,1167
937570,"113.690325,22.782041",东莞,1206,3365,671
939185,"113.690325,22.786541",东莞,0,0,0
937571,"113.695213,22.782041",东莞,0,0,0
939186,"113.695213,22.786541",东莞,1996,542,608
935957,"113.700101,22.777541",东莞,2218,3531,903
937572,"113.700101,22.782041",东莞,0,0,0
939187,"113.700101,22.786541",东莞,3738,1224,2451
940800,"113.690325,22.79104",东莞,1545,421,923
942415,"113.690325,22.79554",东莞,1502,600,799
940801,"113.695213,22.79104",东莞,4116,1110,1896
942416,"113.695213,22.79554",东莞,2504,876,1381
944030,"113.690325,22.80004",东莞,0,0,0
945645,"113.690325,22.804539",东莞,529,386,346
944031,"113.695213,22.80004",东莞,1293,690,1142
945646,"113.695213,22.804539",东莞,1040,357,1219
940802,"113.700101,22.79104",东莞,982,280,616
